lat,lon,eal_score,risk_score,hurricane_score,coastal_flood_score,inland_flood_score,tornado_score,wildfire_score,wind_score,surge
30.4801,-86.6602,92.593,91.721,98.276,70.38,82.259,93.805,78.423,72.307,11.286
30.4801,-86.6402,92.715,91.866,98.314,70.098,82.368,93.968,78.201,73.661,11.209
30.4801,-86.6202,92.808,91.975,98.343,69.91,82.456,94.094,78.051,74.624,11.154
30.4801,-86.6002,92.876,92.053,98.363,69.788,82.521,94.185,77.952,75.284,11.117
30.4801,-86.5802,92.921,92.105,98.377,69.708,82.561,94.245,77.887,75.715,11.092
30.4801,-86.5602,92.946,92.136,98.385,69.652,82.574,94.278,77.842,75.969,11.077
30.4801,-86.5402,92.949,92.147,98.387,69.609,82.556,94.283,77.808,76.077,11.068
30.4801,-86.5202,92.931,92.138,98.384,69.567,82.498,94.257,77.776,76.048,11.066
30.4801,-86.5002,92.884,92.106,98.375,69.518,82.387,94.193,77.741,75.87,11.068
30.4801,-86.4802,92.801,92.045,98.358,69.452,82.199,94.079,77.696,75.505,11.077
30.4801,-86.4602,92.665,91.945,98.33,69.36,81.898,93.893,77.633,74.88,11.094
30.4801,-86.4402,92.456,91.79,98.286,69.228,81.431,93.602,77.542,73.879,11.122
30.4801,-86.4202,92.145,91.561,98.221,69.04,80.724,93.163,77.413,72.34,11.165
30.4801,-86.4002,91.7,91.239,98.128,68.786,79.694,92.526,77.234,70.069,11.229
30.4801,-86.3802,91.102,90.812,98.003,68.463,78.278,91.656,77.003,66.911,11.319
30.4801,-86.3602,90.37,90.297,97.85,68.092,76.494,90.567,76.73,62.883,11.433
30.4801,-86.3402,89.574,89.75,97.684,67.723,74.495,89.355,76.45,58.306,11.563
30.4801,-86.3202,88.828,89.251,97.529,67.419,72.551,88.186,76.206,53.779,11.691
30.4801,-86.3002,88.234,88.869,97.406,67.223,70.924,87.216,76.033,49.908,11.799
30.4801,-86.2802,87.831,88.625,97.323,67.137,69.742,86.52,75.939,47.017,11.879
30.4801,-86.2602,87.598,88.499,97.275,67.133,68.984,86.08,75.906,45.085,11.932
30.4801,-86.2402,87.484,88.45,97.252,67.174,68.545,85.83,75.91,43.903,11.964
30.4801,-86.2202,87.44,88.445,97.244,67.231,68.312,85.702,75.932,43.225,11.981
30.4801,-86.2002,87.431,88.456,97.242,67.284,68.197,85.642,75.956,42.855,11.991
30.4801,-86.1802,87.434,88.47,97.243,67.324,68.144,85.616,75.976,42.66,11.995
30.4801,-86.1602,87.437,88.479,97.244,67.347,68.118,85.603,75.988,42.56,11.998
30.4801,-86.1402,87.433,88.477,97.243,67.349,68.099,85.593,75.989,42.509,11.999
30.4801,-86.1202,87.413,88.459,97.239,67.325,68.074,85.578,75.975,42.482,12.0
30.4801,-86.1003,87.37,88.416,97.229,67.26,68.029,85.548,75.94,42.465,12.001
30.4801,-86.0803,87.283,88.33,97.211,67.131,67.945,85.492,75.869,42.445,12.002
30.4801,-86.0603,87.123,88.17,97.177,66.891,67.789,85.39,75.739,42.41,12.005
30.4801,-86.0403,86.835,87.884,97.117,66.464,67.507,85.207,75.511,42.337,12.01
30.4801,-86.0203,86.341,87.394,97.012,65.736,67.017,84.896,75.127,42.193,12.02
30.4801,-86.0003,85.531,86.592,96.841,64.551,66.205,84.391,74.513,41.925,12.035
30.4801,-85.9803,84.271,85.347,96.575,62.723,64.931,83.617,73.586,41.461,12.062
30.4801,-85.9603,82.441,83.543,96.187,60.091,63.066,82.51,72.287,40.718,12.103
30.4801,-85.9403,79.997,81.139,95.669,56.607,60.557,81.06,70.621,39.63,12.165
30.4801,-85.9203,77.043,78.24,95.042,52.433,57.502,79.344,68.703,38.184,12.255
30.4801,-85.9003,73.843,75.107,94.361,47.955,54.165,77.53,66.743,36.448,12.376
30.4801,-85.8803,70.732,72.071,93.697,43.643,50.893,75.812,64.969,34.557,12.528
30.4801,-85.8603,67.979,69.394,93.108,39.861,47.966,74.331,63.529,32.659,12.706
30.4801,-85.8403,65.704,67.191,92.619,36.759,45.52,73.137,62.453,30.863,12.899
